Company Name,Page URL,Headline,Subtext,Tiers,Features,Extras,Notes
Freshworks,https://www.freshworks.com/crm/pricing/,Freshsales pricing,• 21-days free trial        • No credit card required       • 24×5 support,three,"Monthly Yearly toggle,Highlighted tier,Free trial (then pay),Enterprise tier,Add-ons","Chat in corner,Testimonials,FAQs",
Squarespace,https://www.squarespace.com/pricing,Beautiful websites,Free for 14 days,four,"Monthly Yearly toggle,Highlighted tier","Custom quote,FAQs",
Mailchimp,https://mailchimp.com/pricing/,Why do we recommend Standard?,Our Standard plan has the advanced automations and data-driven optimization tools you need to scale and save time.,four,"Free tier,Highlighted tier,Feature comparison rows,More info tooltips","Awards,FAQs",
Gusto,https://gusto.com/product/pricing,"Simple, transparent pricing","Payroll, benefits, and HR all in one place. No contracts. No hidden fees.",three,"Highlighted tier,Feature comparison rows,More info tooltips,Add-ons,Sticky header on scroll","Awards,FAQs",
Intercom,https://www.intercom.com/pricing,Get the #1 AI Agent and next-gen Helpdesk on one seamless platform.,,three,"Free trial (then pay),More info tooltips,Monthly Yearly toggle,Add-ons","Chat in corner,FAQs,Testimonials",
Persona,https://withpersona.com/pricing,Plans to meet any business challenge,"Simple and scalable pricing models that fit your needs. Flexibility built for organizations of any industry, use case, and size.",three,"Hidden prices,Enterprise tier,Feature comparison rows,Sticky header on scroll,Highlighted tier,Add-ons","Chat in corner,FAQs,Customer logos",
Calendly,https://calendly.com/pages/pricing,Pick the perfect plan for your team,,four,"Highlighted tier,Free tier,Free trial (then pay),Add-ons,Monthly Yearly toggle,Feature comparison rows,Sticky header on scroll,More info tooltips,Enterprise tier",FAQs,
SurveyMonkey,https://www.surveymonkey.com/pricing/,Choose a plan that works for you,,three,"Enterprise tier,More info tooltips,Hidden prices",,
Mixpanel,https://mixpanel.com/pricing/,Plans that grow with you,,three,"Free tier,Enterprise tier,Free trial (then pay),Calculator or slider,Hidden prices,Monthly Yearly toggle,Feature comparison rows,Sticky header on scroll,More info tooltips,Add-ons","Customer logos,FAQs",
HubSpot,https://www.hubspot.com/pricing/,Marketing Hub,Generate leads and automate marketing that drives growthCalculate your price,two,"Enterprise tier,Sticky header on scroll,More info tooltips,Feature comparison rows","Chat in corner,Customer logos,FAQs",
dbt Labs,https://www.getdbt.com/pricing/,dbt pricing,Get started with dbt today and get one step closer to reliable data that you and your team can trust.,four,"Free tier,Free trial (then pay),Enterprise tier,Hidden prices,Feature comparison rows,More info tooltips,Sticky header on scroll","Chat in corner,FAQs",
Elastic,https://www.elastic.co/pricing/,Elastic pricing,"Elastic Cloud makes it easy to launch and scale Search, Observability, and Security, with flexible hosted and serverless options. Compare solutions and deployment to find the right fit.",,,,"The pricing page is different. Kindly check the page, sir."
HashiCorp,https://www.hashicorp.com/products/terraform/pricing,"Flexible, scalable pricing","Simple, predictable pricing gives you full access to the HashiCorp Cloud Platform so you can build, secure, and scale with confidence. Get started today with a $500 credit available to use across the HashiCorp Cloud Platform.",three,"Enterprise tier,Feature comparison rows,Hidden prices,Add-ons",FAQs,
Pulumi,https://www.pulumi.com/pricing/,Plans for all team sizes,The easiest way to adopt Pulumi's open source infrastructure as code,four,"Free tier,Enterprise tier,Hidden prices,Add-ons,Free trial (then pay),Calculator or slider,Feature comparison rows,More info tooltips","Custom quote,Chat in corner,FAQs",
Cypress,https://www.cypress.io/pricing/,"Start with open source, scale with Cypress Cloud","Build, test, and ship quality code with actionable insights",four,"Highlighted tier,Monthly Yearly toggle,Enterprise tier,Free tier,More info tooltips,Hidden prices,Free trial (then pay),Calculator or slider,Feature comparison rows,Sticky header on scroll","Chat in corner,Customer logos,FAQs,Testimonials",
Databricks,https://databricks.com/product/azure-pricing,Azure Databricks Pricing,"Azure Databricks is deeply integrated with Azure security and data services to manage all your Azure data on a simple, open lakehouse",,,,"The pricing page is different. Kindly check the page, sir."
Dropbox,https://www.dropbox.com/plans,Go from idea to done with Dropbox,Store and share files. Sign and send documents. All with Dropbox.,four,"Monthly Yearly toggle,More info tooltips,Highlighted tier,Free trial (then pay),Free tier,Hidden prices,Enterprise tier,Feature comparison rows,Sticky header on scroll",,
Parsec,https://parsec.app/pricing,Parsec powers remote teams of all shapes and sizes. Pick the perfect Parsec for your team.,,three,"Monthly Yearly toggle,Free trial (then pay),Enterprise tier,Feature comparison rows,Sticky header on scroll",FAQs,"Page URL was incorrect (https://parsec.app/teams), I put the correct PRICING page."
Figma,https://www.figma.com/pricing/,"Pick your plan, choose your seats",,four,"Free tier,Enterprise tier,More info tooltips,Monthly Yearly toggle,Feature comparison rows,Sticky header on scroll","FAQs,Customer logos",
Slack,https://slack.com/pricing,Choose the plan that’s right for your team,"Pay by the month or the year, and cancel at any time.",three,"Enterprise tier,Hidden prices,More info tooltips,Feature comparison rows,Sticky header on scroll,Free tier,Highlighted tier,Add-ons",FAQs,
Asana,https://asana.com/pricing,Easily organize your work. Start free.,Access Asana’s features. No credit card required.,four,"Free tier,Highlighted tier,Enterprise tier,Hidden prices,Feature comparison rows,Add-ons","Chat in corner,Customer logos,FAQs",
Airtable,https://airtable.com/pricing,A plan for every organization's needs,,four,"Free tier,Enterprise tier,Hidden prices,Feature comparison rows,Sticky header on scroll,More info tooltips,Add-ons","Customer logos,FAQs",
Notion,https://www.notion.so/pricing,One tool for your whole company. Free for teams to try.,,four,"Highlighted tier,Free tier,Enterprise tier,Hidden prices,Monthly Yearly toggle,More info tooltips,Feature comparison rows,Sticky header on scroll","Customer logos,Testimonials,FAQs",
Zoom,https://zoom.us/pricing,Individuals & Business,,three,"Free tier,More info tooltips,Feature comparison rows,Sticky header on scroll,Add-ons,Monthly Yearly toggle",FAQs,
Monday.com,https://monday.com/pricing/,Supercharge your teamwork. Start free.,Unlimited boards and workflows. No credit card needed.,five,"Highlighted tier,Free tier,Monthly Yearly toggle,Hidden prices,More info tooltips,Feature comparison rows,Sticky header on scroll,Free trial (then pay),Enterprise tier,Add-ons","FAQs,Testimonials,Customer logos",
Front,https://frontapp.com/pricing,Plans for customer-first businesses of all sizes,,four,"Monthly Yearly toggle,Highlighted tier,Free trial (then pay),Hidden prices,Enterprise tier,Feature comparison rows,Sticky header on scroll,More info tooltips,Add-ons","Customer logos,FAQs,Awards",
Miro,https://miro.com/pricing/,,,four,"Highlighted tier,Free tier,Enterprise tier,Hidden prices,Free trial (then pay),Feature comparison rows,Sticky header on scroll,More info tooltips,Add-ons","Customer logos,FAQs",
Productboard,https://www.productboard.com/pricing/,Explore Productboard's offerings,,four,"Enterprise tier,Highlighted tier,Free tier,Free trial (then pay),Hidden prices,Feature comparison rows,More info tooltips","Customer logos,FAQs,Chat in corner,Newsletter sign up form",
Atlassian,https://www.atlassian.com/software/jira/pricing,Start with Jira - No credit card needed,,three,"Monthly Yearly toggle,Highlighted tier,Free tier,Free trial (then pay),Enterprise tier,Hidden prices,Feature comparison rows,Sticky header on scroll",FAQs,
Tally,https://tally.so/pricing,Build beautiful forms for freehighlight,"Paywalls getting in the way? Not anymore. Tally gives you unlimited forms and submissions, completely free, as long as you stay within our fair usage guidelines.",two,"Highlighted tier,Monthly Yearly toggle","Customer logos,Testimonials,FAQs",
Workflow,https://www.workflow.design/pricing,Your first projects are free,"Create unlimited projects and invite reviewers for free. After 14 days, keep collaborating risk free. Upgrade only to start something new.",one,"Free trial (then pay),Monthly Yearly toggle","Testimonials,FAQs",
Anything,https://www.createanything.com/pricing,,,,,,
Superlist,https://www.superlist.com/pricing,,,,,,
Rayna UI,https://www.raynaui.com/pricing,,,,,,
Speakeasy,https://www.speakeasy.com/pricing,,,,,,
Boom,https://www.boomvideo.app/pricing,,,,,,
